seed,corridor_radius,deflection,success_rate,death_rate,temporal_jitter,mean_arrival,first_death_step
13,17,0.5,0.8285714285714286,0.17142857142857143,0.07860766320114608,411.37931034482756,47.0
14,17,0.5,0.8857142857142857,0.11428571428571428,0.08293010436796265,411.1290322580645,121.0
15,17,0.5,0.9,0.1,0.07435742948675912,411.85714285714283,120.0
16,17,0.5,0.8857142857142857,0.11428571428571428,0.06511927564885153,406.7741935483871,118.0
17,17,0.5,0.9,0.1,0.06546131792268403,406.93650793650795,119.0
18,17,0.5,0.8285714285714286,0.17142857142857143,0.11243694412709575,450.4655172413793,45.0
19,17,0.5,0.9,0.1,0.052469713793834555,398.76190476190476,119.0
0,15,0.1,0.5714285714285714,0.42857142857142855,0.03094653128157779,393.35,52.0
1,15,0.1,0.6,0.4,0.03537612922818327,393.76190476190476,114.0
2,15,0.1,0.5285714285714286,0.4714285714285714,0.017999315927129618,383.86486486486484,40.0
3,15,0.1,0.6,0.4,0.02129487357007821,386.45238095238096,115.0
4,15,0.1,0.5142857142857142,0.4857142857142857,0.034617827820138884,395.6666666666667,40.0
5,15,0.1,0.45714285714285713,0.5428571428571428,0.030801628035604874,389.96875,116.0
6,15,0.1,0.5857142857142857,0.4142857142857143,0.027786230891860296,389.8536585365854,62.0
7,15,0.1,0.5571428571428572,0.44285714285714284,0.022922171326014002,386.53846153846155,114.0
8,15,0.1,0.4857142857142857,0.5142857142857142,0.026059104504935506,384.44117647058823,38.0
9,15,0.1,0.5285714285714286,0.4714285714285714,0.03715157537967652,392.8378378378378,114.0
10,15,0.1,0.5714285714285714,0.42857142857142855,0.02368658031268487,393.125,62.0
11,15,0.1,0.5714285714285714,0.42857142857142855,0.042689584383712446,396.625,112.0
12,15,0.1,0.5571428571428572,0.44285714285714284,0.016003911757679366,379.1025641025641,103.0
13,15,0.1,0.44285714285714284,0.5571428571428572,0.020305019381435026,384.03225806451616,114.0
14,15,0.1,0.5714285714285714,0.42857142857142855,0.052009052953313595,400.6,115.0
15,15,0.1,0.5142857142857142,0.4857142857142857,0.026994296143665823,392.80555555555554,112.0
16,15,0.1,0.5285714285714286,0.4714285714285714,0.02581649623050101,383.9189189189189,105.0
17,15,0.1,0.5428571428571428,0.45714285714285713,0.034181605283486426,400.89473684210526,105.0
18,15,0.1,0.5142857142857142,0.4857142857142857,0.031263160673359276,390.6111111111111,40.0
19,15,0.1,0.5428571428571428,0.45714285714285713,0.023353432430521463,393.2105263157895,105.0
0,15,0.2,0.6428571428571429,0.35714285714285715,0.03813878783698598,403.46666666666664,52.0
1,15,0.2,0.6714285714285714,0.32857142857142857,0.046392015682652624,404.0,114.0
2,15,0.2,0.7428571428571429,0.2571428571428571,0.05434537595058639,397.40384615384613,40.0
3,15,0.2,0.7,0.3,0.04004311965806787,391.0204081632653,115.0
4,15,0.2,0.7142857142857143,0.2857142857142857,0.03354297421018088,391.24,40.0
5,15,0.2,0.6714285714285714,0.32857142857142857,0.04851564529400672,404.3404255319149,116.0
6,15,0.2,0.7,0.3,0.02812016165890501,388.9591836734694,62.0
7,15,0.2,0.6857142857142857,0.3142857142857143,0.02849178860635155,385.6875,114.0
8,15,0.2,0.7285714285714285,0.2714285714285714,0.04987994772858089,402.078431372549,38.0
9,15,0.2,0.7142857142857143,0.2857142857142857,0.03989543013513961,394.88,114.0
10,15,0.2,0.7571428571428571,0.24285714285714285,0.019921469293922838,408.1132075471698,62.0
11,15,0.2,0.7285714285714285,0.2714285714285714,0.0385559384874331,392.54901960784315,112.0
12,15,0.2,0.7,0.3,0.03437976640239992,387.0408163265306,103.0
13,15,0.2,0.6714285714285714,0.32857142857142857,0.039477958513744194,396.17021276595744,114.0
14,15,0.2,0.7285714285714285,0.2714285714285714,0.04999163206592644,407.84313725490193,115.0
15,15,0.2,0.7142857142857143,0.2857142857142857,0.04131537637325971,394.4,112.0
16,15,0.2,0.7428571428571429,0.2571428571428571,0.03432648965341742,397.1730769230769,105.0
17,15,0.2,0.7428571428571429,0.2571428571428571,0.05062195146240019,408.15384615384613,105.0
18,15,0.2,0.7142857142857143,0.2857142857142857,0.028420719076401434,388.0,40.0
19,15,0.2,0.5857142857142857,0.4142857142857143,0.06413295345649353,411.2926829268293,105.0
0,15,0.3,0.7714285714285715,0.22857142857142856,0.05873004289077203,415.05555555555554,52.0
1,15,0.3,0.6857142857142857,0.3142857142857143,0.06537310614924297,431.1041666666667,114.0
2,15,0.3,0.8,0.2,0.032695715923226364,393.8392857142857,40.0
3,15,0.3,0.7,0.3,0.028647837398170267,418.2857142857143,115.0
4,15,0.3,0.7571428571428571,0.24285714285714285,0.051766167230563084,414.64150943396226,40.0
5,15,0.3,0.7428571428571429,0.2571428571428571,0.05302550802275292,409.0576923076923,116.0
6,15,0.3,0.7714285714285715,0.22857142857142856,0.047455096385246136,403.8888888888889,62.0
7,15,0.3,0.8,0.2,0.09047041216900818,429.4107142857143,114.0
8,15,0.3,0.7,0.3,0.06814603290278226,420.1224489795918,38.0
9,15,0.3,0.7285714285714285,0.2714285714285714,0.04629932328096858,404.94117647058823,114.0
10,15,0.3,0.7714285714285715,0.22857142857142856,0.049326195542965065,415.18518518518516,62.0
11,15,0.3,0.8,0.2,0.05064777350518954,414.75,112.0
12,15,0.3,0.7285714285714285,0.2714285714285714,0.07180806162761594,440.45098039215685,103.0
13,15,0.3,0.6142857142857143,0.38571428571428573,0.07265960037541906,424.4186046511628,114.0
14,15,0.3,0.7857142857142857,0.21428571428571427,0.04117442984720766,396.45454545454544,115.0
15,15,0.3,0.8285714285714286,0.17142857142857143,0.05072965926431964,411.1896551724138,112.0
16,15,0.3,0.7428571428571429,0.2571428571428571,0.0648070433733539,421.5,105.0
17,15,0.3,0.6857142857142857,0.3142857142857143,0.06041444698278762,423.0625,105.0
18,15,0.3,0.7857142857142857,0.21428571428571427,0.04931813167392219,401.7090909090909,40.0
19,15,0.3,0.7857142857142857,0.21428571428571427,0.0409799865254513,393.1636363636364,105.0
0,15,0.4,0.7857142857142857,0.21428571428571427,0.071850785195017,441.9818181818182,52.0
1,15,0.4,0.7428571428571429,0.2571428571428571,0.061991389236115135,413.63461538461536,114.0
2,15,0.4,0.7857142857142857,0.21428571428571427,0.06300370147358335,407.2181818181818,40.0
3,15,0.4,0.7285714285714285,0.2714285714285714,0.09512546936896003,451.27450980392155,115.0
4,15,0.4,0.7571428571428571,0.24285714285714285,0.057934135928606516,410.39622641509436,40.0
5,15,0.4,0.8142857142857143,0.18571428571428572,0.08598738390975023,430.29824561403507,116.0
6,15,0.4,0.7,0.3,0.07720156181667523,439.734693877551,62.0
7,15,0.4,0.6857142857142857,0.3142857142857143,0.08092429628416098,433.125,114.0
8,15,0.4,0.8142857142857143,0.18571428571428572,0.0357437021055269,406.0,38.0
9,15,0.4,0.7,0.3,0.0642147656039421,412.44897959183675,114.0
